,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
144,"Farmers Branch, TX",Haggar Corp.,7ea8db2b02f3e5ad,Market Research & Insights Analyst,,,,30+ days,2016-10-16 00:37:13.486724
145,"Addison, TX 75001",R&D Product Development,325f40c49df790e0,Scientist Product Safety,,,,30+ days,2016-10-16 00:37:13.486724
146,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,33deb6e6865b8eb6,"Assistant Investigator: Cancer Genetics, Epigenetics and Bio...",,43.8,206,30+ days,2016-10-16 00:37:13.486724
147,"Irving, TX",Nokia Siemens Networks,be914a57160a4102,Senior Internal Auditor,,51.0,782,30+ days,2016-10-16 00:37:13.486724
148,"Arlington, TX",GM Financial,0da7b2769ad89f3c,Lead Data Engineer - Batch and Stream Processing,,42.6,128,17 days,2016-10-16 00:37:13.486724
149,"Irving, TX",Accentvision Technology Inc,8189a28d12bbe90e,Java Scala Developer (SOW Project),,,,30+ days,2016-10-16 00:37:13.486724
150,"Dallas, TX",SAP,3e29cbd2a2415c01,SAP Big Data Sr. Consultant Job,,52.800003,405,30+ days,2016-10-16 00:37:13.486724
151,"Irving, TX 75038","ATR International, Inc.",842b20c002ae0cf6,Statistical Analyst I,,52.800003,16,30+ days,2016-10-16 00:37:13.486724
152,"Arlington, TX 76010 (East area)",2M Research Services,68998337141e7bb6,Senior Qualitative Research Analyst,,,,30+ days,2016-10-16 00:37:13.486724
153,"Arlington, TX",GM Financial,0f413194838ce051,Lead Software Engineer - Distributed Systems,,42.6,128,30+ days,2016-10-16 00:37:13.486724
154,"Dallas, TX",Post Holdings,a88cb2697b1b6ea3,Director of Sales International,,51.0,26,30+ days,2016-10-16 00:37:13.486724
155,"Irving, TX 75062",Flowserve,e9e3d2fa6e14c182,Senior Business Analyst - Sales & Commercial Operations Anal...,,43.2,375,30+ days,2016-10-16 00:37:13.486724
156,"Dallas, TX 75201 (City Center District area)",Invesco,f40a7dee4c0cae2f,Real Estate Research Analyst,,51.0,91,30+ days,2016-10-16 00:37:13.486724
157,"Dallas, TX 75251 (North Dallas area)",Daisy Brand,c6b03d5d361d0368,Corporate Food Safety and Sanitiation Specialist,,43.8,12,30+ days,2016-10-16 00:37:13.486724
158,"Addison, TX 75001",R&D Product Development,7bc860116cd2cd56,Sr Scientist CPI (Consumer & Product Insights),,,,30+ days,2016-10-16 00:37:13.486724
159,"Plano, TX",PepsiCo,f833b94ac4cc6ad1,Principal Scientist - Product Development,,44.4,5088,30+ days,2016-10-16 00:37:13.486724
160,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,fd2d22a617bd25fd,Research Assistant II - Biochemistry,,43.8,202,30+ days,2016-10-16 00:37:13.486724
161,"Dallas, TX",Lantern Pharma,fe008445902a34df,Scientist Computational Biologist,,,,30+ days,2016-10-16 00:37:13.486724
162,"Dallas, TX",Lantern Pharma,90a851e1866bdc39,Sr.Scientist / Director,,,,30+ days,2016-10-16 00:37:13.486724
163,"Irving, TX",Joseph Michaels International,cbca523d02e9d398,Food Sensory Scientist,,,,3 days,2016-10-16 00:37:13.486724
164,"Plano, TX",Capital One,3562183cc592091e,Lead Data Scientist,,44.4,2904,30+ days,2016-10-16 00:37:13.486724
165,"Dallas, TX 75248 (Far North area)",AECOM,ecec7bbee806c350,Environmental Planner,,43.2,1806,30+ days,2016-10-16 00:37:13.486724
166,"Dallas, TX 75234",IBM,27d31d98531f4947,UX Lead Product Designer,,51.0,12110,30+ days,2016-10-16 00:37:13.486724
167,"Addison, TX 75001",R&D Product Development,d30035db5861ae4d,Scientist SCR (Clinical,,,,30+ days,2016-10-16 00:37:13.486724
