,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
210,"Sunnyvale, CA 94089",Baidu USA,ac5bd2bd0a262460,Software Engineer - Big Data Lab,,,,17 days,2016-10-16 00:31:42.416696
211,"Redwood Shores, CA",Oracle,78ea513a7558d7e2,Sr. Data Scientist,,44.4,1012,30+ days,2016-10-16 00:31:42.416696
212,"Santa Clara, CA",Workbridge Associates,ecb04ba1ed2b2e13,Data Scientist - Business Strategy - IoT,"$120,000 - $160,000 a year",41.4,25,5 days,2016-10-16 00:31:42.416696
213,"Pleasanton, CA 94588",Clorox,a64dbf46bad6eb83,Data Scientist 1,,51.6,275,30+ days,2016-10-16 00:31:42.416696
214,"Stanford, CA 94305",Stanford University,1fe56383178a18d5,Research Finance Analyst,,52.800003,244,1 day,2016-10-16 00:31:42.416696
215,"Cupertino, CA",Amazon Corporate LLC,6ca9b4eb002933a0,Applied Scientist - Selection Classification,,43.2,9607,30 days,2016-10-16 00:31:42.416696
216,"Palo Alto, CA",Umpqua Bank,d9a992d78417b61c,Pivotus - Data Scientist - Palo Alto,"$100,000 - $160,000 a year",43.8,88,30+ days,2016-10-16 00:31:42.416696
217,"Mountain View, CA",Jobspring Partners,4e23a80736458e47,Java Engineer (Machine Learning),"$110,000 - $145,000 a year",40.8,12,30+ days,2016-10-16 00:31:42.416696
218,"San Jose, CA 95113 (Downtown area)",Jobspring Partners,7c28908721dceeb4,Data Scientist,"$150,000 - $170,000 a year",40.8,12,19 days,2016-10-16 00:31:42.416696
219,"Mountain View, CA 94039",Intuit,d6740eb7d1855c60,Senior Data Scientist,,52.199997,466,26 days,2016-10-16 00:31:42.416696
220,"Redwood City, CA",Delphix,6c87512b3aa78903,Data Management Infrastructure Engineer,,,,3 days,2016-10-16 00:31:42.416696
221,"Stanford, CA 94305",Stanford University,83a24af351396c7d,Senior Institutional Research Analyst,,52.800003,244,30+ days,2016-10-16 00:31:42.416696
222,"Los Gatos, CA",Netflix Inc.,68db03cceeb09039,Senior Data Scientist - Streaming Science & Algorithms,,43.8,239,8 days,2016-10-16 00:31:42.416696
223,"Santa Clara Valley, CA",Apple,39b64d251fb71007,"Machine Learning Engineer, Proactive Intelligence",,52.800003,2568,30+ days,2016-10-16 00:31:42.416696
224,"San Jose, CA",SAIC Innovation Center,1dde8d7a535603c9,Machine Learning Research Engineer (HMI),,,,30+ days,2016-10-16 00:31:42.416696
225,"Fremont, CA 94538 (Irvington area)",Dataguise Inc.,c8de9e69a3a3cfb7,Machine Learning Expert Consultant,,,,3 days,2016-10-16 00:31:42.416696
226,"Santa Clara Valley, CA",Apple,5b8f5ce068e5a741,Siri Reliability Data Engineer,,52.800003,2568,30+ days,2016-10-16 00:31:42.416696
227,"Santa Clara, CA",Tandem Recruiting Group,f07ec19424f6c4b8,Computer Vision/Machine Learning Researcher,"$180,000 a year",,,17 days,2016-10-16 00:31:42.416696
228,"Redwood City, CA",Summit Public Schools,a8ed0c4c6e0f71a7,Data Scientist/Researcher,,,,30+ days,2016-10-16 00:31:42.416696
229,"Redwood City, CA",Rocket Fuel Inc.,adf7249754e0f38d,Software Engineer - Machine Learning & Artificial Intelligen...,,,,28 days,2016-10-16 00:31:42.416696
230,"Sunnyvale, CA",Yahoo! Inc.,9df129b5a8835ae2,"Sr. Data Scientist, Advertising",,51.6,322,30+ days,2016-10-16 00:31:42.416696
