,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
150,"Washington, DC 20036 (Downtown area)",KPMG,32cc5be17dbb219d,Manager - Data Scientist,,51.0,1768,23 days,2016-10-16 00:30:23.897629
151,"Washington, DC","IFAS, LLC",1109f5e971174b60,Statistician,,,,30+ days,2016-10-16 00:30:23.897629
152,"Reston, VA",Pinnacle Technical Resources Inc,e265f339374839d5,Data Scientist - 1912175308,,42.0,2,30+ days,2016-10-16 00:30:23.897629
153,"Springfield, VA",Leidos,887826ee4a9f9ce2,Data Scientist (Journeyman),,43.8,187,30+ days,2016-10-16 00:30:23.897629
154,"Washington, DC 20001 (Shaw area)",Truth Initiative,cd39df436eea65c7,Data Scientist - EX,,,,30+ days,2016-10-16 00:30:23.897629
155,"Washington, DC",Booz Allen Hamilton,c1732cc931b3d810,Chief Data Scientist,,44.4,945,30+ days,2016-10-16 00:30:23.897629
156,"Vienna, VA",MicroHealth LLC,5e167661463e5797,Business Development Research Analyst - Entry Level,,,,15 days,2016-10-16 00:30:23.897629
157,"Reston, VA",Praxis Engineering,b8b8a949c18b6d8f,Sr Data Scientist,,55.800003,9,5 days,2016-10-16 00:30:23.897629
158,"Arlington, VA 22201 (Lyon Village area)",CNA Corp.,db0214888b753b12,Research Analyst - Economist,,,,2 days,2016-10-16 00:30:23.897629
159,"Bethesda, MD 20892",Global Solutions Network,93686ae390f4ef80,Scientific Program Analyst,$30.58 an hour,,,17 days,2016-10-16 00:30:23.897629
160,"Washington, DC",Ironbow Technologies,156da11f60a187f5,Ergonomics Research Analyst,,,,25 days,2016-10-16 00:30:23.897629
161,"Washington, DC",Dexis Consulting Group,2c5d2c29878e7517,Data Research Analyst,,,,30+ days,2016-10-16 00:30:23.897629
162,"Washington, DC",ECS Federal LLC,44c46df8068f66c5,Junior Operations Research Analyst,,43.8,14,30+ days,2016-10-16 00:30:23.897629
