,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
154,"Los Angeles, CA",VNU Retail Group,9bf73b4430464ebc,Data Insight and Analysis Manager,,,,23 days,2016-10-16 00:29:05.084612
155,"Burbank, CA",Warner Bros. Entertainment Group,ffa2ec8392bde1d8,Research Analyst,,52.800003,152,30+ days,2016-10-16 00:29:05.084612
156,"Glendale, CA",Disney ABC Television Group,a66994e88b08e41c,Analyst - Digital Research,,51.0,164,30+ days,2016-10-16 00:29:05.084612
157,"Los Angeles, CA",UCLA Health,fdb925abcd245c8e,Centralized Research Billing Analyst,,42.0,23,11 days,2016-10-16 00:29:05.084612
158,"Pasadena, CA",MJK Concepts,ced494cb9806d42f,SPEECH SYNTHESIS RESEARCH SCIENTIST,,,,30+ days,2016-10-16 00:29:05.084612
159,"Woodland Hills, CA 91367",InterMedia Advertising,13780dae725705c6,Director/Manager of Business Intelligence and Analytics,,,,30+ days,2016-10-16 00:29:05.084612
160,"Los Angeles, CA",Los Angeles County Human Resources,b21d3e29437c2683,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES","$73,107 - $95,884 a year",,,30+ days,2016-10-16 00:29:05.084612
161,"Canoga Park, CA",Thermo Fisher Scientific,a9fbd8955f9b9a7b,"Engineer/Scientist I, QC",,43.2,980,4 days,2016-10-16 00:29:05.084612
162,"Brea, CA 92821",Pacific Western Bank,98f68c1f55539d44,Quantitative Analyst Intern - Masters Degree/PHD Students On...,,51.0,33,15 days,2016-10-16 00:29:05.084612
163,"El Segundo, CA",Bluestem Brands Inc.,a2ded45f46a75deb,Data Engineer,,,,30+ days,2016-10-16 00:29:05.084612
164,"Los Angeles, CA",Aetion,2cc441ff00bb95d3,Front-end Engineer,,,,30+ days,2016-10-16 00:29:05.084612
165,"Los Angeles, CA",Blackwood Seven,abea4f76a1d9213d,Senior Marketing Scientist,,,,15 days,2016-10-16 00:29:05.084612
166,"Los Angeles, CA",Tribogenics,6280855cef57c6eb,"Director, X-Ray Source Engineering",,,,5 days,2016-10-16 00:29:05.084612
